,ANO,MÊS,GRANDE REGIÃO,UNIDADE DA FEDERAÇÃO,PRODUTOR,PRODUTO,PRODUÇÃO
6238,2010,NOV,REGIÃO CENTRO-OESTE,GOIÁS,MINERVA,BIODIESEL,0
6239,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,DELTA CUIABA,BIODIESEL,0
6240,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,CLV,BIODIESEL,0
6241,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,COOMISA,BIODIESEL,0
6242,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,COOPERBIO (LUCAS DO RIO VERDE),BIODIESEL,0
6243,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,RENOBRAS,BIODIESEL,0
6244,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,USIBIO,BIODIESEL,0
6245,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,TECNODIESEL,BIODIESEL,0
6246,2010,NOV,REGIÃO CENTRO-OESTE,GOIÁS,OLFAR,BIODIESEL,0
6247,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,COFCO,BIODIESEL,0
6248,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO BRAZILIAN,BIODIESEL,0
6249,2010,NOV,REGIÃO CENTRO-OESTE,GOIÁS,BIONASA,BIODIESEL,0
6250,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO OLEO,BIODIESEL,0
6251,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,AGRENCO,BIODIESEL,0
6252,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,AGROSOJA,BIODIESEL,0
6253,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,BEIRA RIO,BIODIESEL,0
6254,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,0
