ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTOR;PRODUTO;PRODUÇÃO
2005;JAN;REGIÃO CENTRO-OESTE;MATO GROSSO;COOMISA;BIODIESEL;0
2005;OUT;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;NOV;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;OUT;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;NOV;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;AGO;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;SET;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;DEZ;REGIÃO CENTRO-OESTE;MATO GROSSO;DELTA CUIABA;BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;ABR;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;JAN;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);BIODIESEL;0
2005;JAN;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;BIODIESEL;0
2005;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;JAN;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;MAI;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;JUN;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;ABR;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;SET;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;BIODIESEL;0
2005;JUN;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;JUL;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;ABR;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;MAI;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;AGO;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;NOV;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;DEZ;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;SET;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;OUT;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;SET;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;OUT;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;JUL;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;AGO;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;NOV;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;FEV;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;MAR;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;DEZ;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;BIODIESEL;0
2005;JAN;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);BIODIESEL;0
2005;FEV;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;MAR;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;DEZ;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;JAN;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;ABR;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;JUL;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;AGO;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;MAI;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;JUN;REGIÃO NORTE;PARÁ;DVH CHEMICAL;BIODIESEL;0
2005;MAI;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;JUN;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;ABR;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;JUL;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;OUT;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;NOV;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;AGO;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;SET;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;BIODIESEL;0
2005;AGO;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;SET;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;JUN;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;JUL;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
2005;OUT;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;BIODIESEL;0
